Chainage [m],Driving Speed [m/s],Driving Accl [m/s²],GyroRoll [rad/s],GyroYaw [rad/s],GyroPitch [rad/s],AcclLoad [m/s�],AcclVerti 1.9 [m/s²],AcclTrans 1.9 [m/s²],AcclHoris 1.9 [m/s²],AcclVerti 2.0 [m/s²],AcclTrans 2.0 [m/s²],AcclHoris 2.0 [m/s²],Strain Gauge Left [kg],Strain Gauge Right [kg],Temp Road [°C],Temp Air [°C],Doppler 3.080 [m/s],Doppler 1.500 [m/s],Doppler 0.900 [m/s],Doppler 0.600 [m/s],Doppler 0.450 [m/s],Doppler 0.300 [m/s],Doppler 0.215 [m/s],Doppler 0.130 [m/s],Doppler -0.200 [m/s],Doppler -0.300 [m/s],Doppler -0.450 [m/s],DeflVel 1.500 [mm/s],DeflVel 0.900 [mm/s],DeflVel 0.600 [mm/s],DeflVel 0.450 [mm/s],DeflVel 0.300 [mm/s],DeflVel 0.215 [mm/s],DeflVel 0.130 [mm/s],DeflVel -0.200 [mm/s],DeflVel -0.300 [mm/s],DeflVel -0.450 [mm/s],Slope 1.500 [µm/m],Slope 0.900 [µm/m],Slope 0.600 [µm/m],Slope 0.450 [µm/m],Slope 0.300 [µm/m],Slope 0.215 [µm/m],Slope 0.130 [µm/m],Slope -0.200 [µm/m],Slope -0.300 [µm/m],Slope -0.450 [µm/m],DoppValidity 3.080 ,DoppValidity 1.500 ,DoppValidity 0.900 ,DoppValidity 0.600 ,DoppValidity 0.450 ,DoppValidity 0.300 ,DoppValidity 0.215 ,DoppValidity 0.130 ,DoppValidity -0.200 ,DoppValidity -0.300 ,DoppValidity -0.450 ,SCI200 [µm],SCI300 [µm],SCISUB [µm],D-450 [µm],D-300 [µm],D-200 [µm],D0 [µm],D200 [µm],D300 [µm],D450 [µm],D600 [µm],D900 [µm],D1200 [µm],D1500 [µm],Goodness of fit,Latitude [dd.dddd],Longitude [dd.dddd],Height [m],DOP,Satellites
3050.0,17.2397,0.28696,0.004018,0.017807,0.000727,-0.15765,0.041896,-0.235757,-0.054975,0.030238,0.212328,0.039869,5402.6214,5343.0368,33.96,25.5,-0.034354,-0.036246,-0.040923,-0.042185,-0.035283,-0.035011,-0.035902,-0.032599,-0.040971,-0.038531,-0.036206,0.596188,1.26789,1.840593,2.106734,2.20296,2.100319,1.968251,-0.907873,-1.311711,-1.380907,34.5823,73.5449,106.7649,122.2026,127.7842,121.8305,114.1698,-52.6618,-76.0867,-80.1005,0.533,0.4925,0.525,0.4955,0.5078,0.4903,0.5067,0.486,0.464,0.5364,0.524,19.0,32.0,31.0,-126.0,-138.0,-144.0,-146.0,-127.0,-114.0,-96.0,-79.0,-52.0,-32.0,-20.0,0.99938891,55.665378994,12.112095896,42.817,1.2,8
3060.0,17.4004,0.27639,0.007684,0.017168,-0.000215,-0.158016,0.049152,-0.261046,-0.040403,0.101354,0.357405,0.022388,5349.7377,5398.6337,33.92,25.51,-0.037448,-0.040903,-0.046118,-0.047757,-0.040861,-0.040579,-0.041897,-0.038708,-0.047146,-0.044696,-0.042698,0.548645,1.275317,1.764621,2.101645,2.347492,1.904893,1.707236,-0.869669,-1.19383,-1.467459,31.5307,73.2926,101.4129,120.7817,134.9106,109.4744,98.115,-49.98,-68.6095,-84.335,0.5286,0.4955,0.5219,0.4949,0.5085,0.4889,0.5028,0.4826,0.4715,0.5404,0.5204,16.0,29.0,29.0,-123.0,-135.0,-141.0,-142.0,-126.0,-114.0,-95.0,-78.0,-51.0,-34.0,-22.0,0.99867909,55.665392529,12.111938487,42.817,1.2,8
3070.0,17.5607,0.28682,0.005356,0.011358,0.000932,-0.094305,0.095394,-0.089639,-0.088941,0.076602,0.042272,0.074673,5373.9467,5422.123,34.01,25.52,-0.037823,-0.039496,-0.044165,-0.045337,-0.038363,-0.038117,-0.039308,-0.035996,-0.04377,-0.041117,-0.038957,0.541714,1.163462,1.789996,1.971072,2.007994,1.602734,1.399811,-0.833261,-1.0923,-1.395691,30.8482,66.2539,101.9322,112.2436,114.3462,91.2684,79.7129,-47.4504,-62.2015,-79.4783,0.5266,0.496,0.5246,0.4977,0.5106,0.4915,0.5029,0.4814,0.4727,0.5416,0.5193,13.0,23.0,28.0,-109.0,-120.0,-125.0,-128.0,-115.0,-104.0,-87.0,-71.0,-46.0,-29.0,-18.0,0.9988516,55.665407153,12.111781435,42.505,1.2,8
3080.0,17.7236,0.26308,0.005329,0.00759,0.003083,-0.15565,0.046113,-0.009574,-0.012536,0.057975,0.025043,0.017128,5266.7315,5459.0431,34.14,25.51,-0.044345,-0.04273,-0.045794,-0.046216,-0.038887,-0.038067,-0.038928,-0.035424,-0.043875,-0.041031,-0.038583,0.473752,1.487092,2.245143,2.401178,2.690617,2.441767,2.216384,-1.348396,-1.658179,-2.018234,26.73,83.9046,126.6752,135.479,151.8097,137.7691,125.0526,-76.0791,-93.5576,-113.8726,0.5269,0.4934,0.52,0.498,0.5128,0.4899,0.4991,0.4812,0.4738,0.536,0.5158,21.0,35.0,31.0,-122.0,-137.0,-146.0,-152.0,-132.0,-117.0,-96.0,-76.0,-44.0,-25.0,-14.0,0.99957119,55.66542257,12.111624608,42.182,1.2,8
3090.0,17.8403,0.15361,0.003668,0.006322,-0.001986,-0.17796,0.046114,0.090817,0.140796,0.053166,-0.103776,-0.15842,5307.865,5409.1061,34.18,25.47,-0.028984,-0.035142,-0.041609,-0.043472,-0.036787,-0.036659,-0.037723,-0.034606,-0.045419,-0.043002,-0.041316,0.758917,1.474148,2.333464,2.562726,2.921928,2.906449,2.703174,-1.511583,-1.760628,-2.139673,42.5396,82.6303,130.7975,143.6484,163.7827,162.9151,151.5209,-84.7287,-98.6884,-119.935,0.5271,0.4956,0.5199,0.4937,0.5072,0.4896,0.5031,0.4812,0.4642,0.5361,0.52,26.0,42.0,36.0,-145.0,-161.0,-171.0,-175.0,-149.0,-132.0,-109.0,-89.0,-56.0,-34.0,-20.0,0.99917451,55.665438659,12.111467942,42.182,1.2,8
3100.0,17.8978,0.10047,-0.007204,0.008058,0.001181,-0.024697,0.167938,0.065729,0.101426,0.181394,-0.027633,-0.102953,5494.4753,5365.4816,34.17,25.49,-0.031503,-0.032956,-0.037454,-0.038422,-0.031254,-0.030814,-0.031574,-0.027992,-0.037495,-0.034915,-0.032564,0.486142,1.310186,2.129956,2.349569,2.548089,2.572397,2.554884,-1.37385,-1.785633,-1.982492,27.1621,73.2038,119.0066,131.2771,142.3689,143.7271,142.7486,-76.7609,-99.7683,-110.7674,0.5284,0.4946,0.5183,0.4915,0.5069,0.4837,0.5032,0.4819,0.4625,0.5368,0.5218,25.0,40.0,28.0,-119.0,-135.0,-144.0,-148.0,-122.0,-108.0,-87.0,-69.0,-40.0,-22.0,-12.0,0.99985674,55.665454995,12.111311431,41.827,1.2,8
3110.0,18.0045,0.26682,0.00422,0.0125,0.003473,-0.168858,-0.007938,-0.123673,-0.048988,-0.018096,0.125804,0.039221,5333.9875,5404.1161,34.13,25.54,-0.027739,-0.025651,-0.028809,-0.029138,-0.021394,-0.020597,-0.021356,-0.017699,-0.026037,-0.023423,-0.020664,0.415761,1.246632,2.035778,2.449766,2.664878,2.501936,2.345665,-1.130753,-1.752523,-1.892531,23.0921,69.24,113.0705,136.0641,148.0118,138.9617,130.2821,-62.8039,-97.3381,-105.1144,0.5269,0.4931,0.5215,0.4909,0.5023,0.4866,0.5043,0.4827,0.4623,0.5333,0.5187,22.0,37.0,25.0,-114.0,-129.0,-137.0,-140.0,-117.0,-103.0,-82.0,-63.0,-36.0,-20.0,-11.0,0.99952683,55.665471502,12.111155094,41.827,1.2,8
3120.0,18.1714,0.308,0.002233,0.009279,0.000754,-0.167276,0.060354,-0.00833,-0.011607,0.086055,0.020419,0.001519,5326.8029,5410.2432,34.13,25.53,-0.018743,-0.020971,-0.025787,-0.026879,-0.019814,-0.019346,-0.020415,-0.016905,-0.025876,-0.023459,-0.021244,0.437748,1.294308,2.156074,2.236413,2.529987,2.296982,2.192924,-0.959975,-1.531939,-1.829677,24.09,71.2279,118.6523,123.0735,139.2294,126.4068,120.6802,-52.829,-84.3051,-100.6902,0.5297,0.494,0.5203,0.4923,0.5065,0.4908,0.5044,0.4821,0.4617,0.5381,0.5203,21.0,34.0,27.0,-117.0,-131.0,-138.0,-138.0,-117.0,-104.0,-84.0,-66.0,-38.0,-21.0,-11.0,0.99921892,55.665488604,12.110998819,41.464,1.2,8
3130.0,18.336,0.28354,0.002193,0.008938,-8.1e-05,-0.129385,0.059389,0.013425,-0.026049,0.051862,-0.025921,0.013172,5340.6913,5427.0521,34.12,25.5,-0.030585,-0.03413,-0.039486,-0.041244,-0.034061,-0.033958,-0.035051,-0.031678,-0.040365,-0.037779,-0.035622,0.453985,1.295879,1.746273,2.000083,2.045993,1.864641,1.658665,-0.893685,-1.243856,-1.50289,24.7592,70.6739,95.2372,109.0794,111.5832,101.6927,90.4593,-48.7392,-67.8367,-81.9637,0.5282,0.4932,0.5207,0.496,0.5091,0.4891,0.503,0.4803,0.4674,0.5378,0.5176,15.0,26.0,27.0,-104.0,-115.0,-121.0,-124.0,-108.0,-98.0,-81.0,-66.0,-41.0,-24.0,-14.0,0.99976889,55.665506246,12.110842769,41.464,1.2,8
3140.0,18.4755,0.24205,-0.001512,0.009187,0.001271,-0.147536,0.042094,0.025588,0.030287,0.052572,-0.018166,-0.027532,5370.0078,5363.9391,34.07,25.47,-0.037878,-0.039211,-0.043931,-0.045026,-0.037498,-0.037039,-0.037989,-0.03438,-0.043632,-0.040798,-0.038431,0.520845,1.209912,1.923436,2.262894,2.456646,2.307808,2.192388,-1.334541,-1.596359,-1.869595,28.1911,65.4874,104.1074,122.4808,132.9677,124.9118,118.6646,-72.233,-86.4041,-101.1932,0.5278,0.4908,0.5235,0.4916,0.5079,0.4858,0.5057,0.4807,0.4664,0.5376,0.5211,20.0,33.0,25.0,-103.0,-117.0,-125.0,-131.0,-111.0,-98.0,-79.0,-62.0,-36.0,-20.0,-11.0,0.99946182,55.665524345,12.110686875,41.063,1.2,8
