Chainage [m],Driving Speed [m/s],Driving Accl [m/s²],GyroRoll [rad/s],GyroYaw [rad/s],GyroPitch [rad/s],AcclLoad [m/s�],AcclVerti 1.9 [m/s²],AcclTrans 1.9 [m/s²],AcclHoris 1.9 [m/s²],AcclVerti 2.0 [m/s²],AcclTrans 2.0 [m/s²],AcclHoris 2.0 [m/s²],Strain Gauge Left [kg],Strain Gauge Right [kg],Temp Road [°C],Temp Air [°C],Doppler 3.080 [m/s],Doppler 1.500 [m/s],Doppler 0.900 [m/s],Doppler 0.600 [m/s],Doppler 0.450 [m/s],Doppler 0.300 [m/s],Doppler 0.215 [m/s],Doppler 0.130 [m/s],Doppler -0.200 [m/s],Doppler -0.300 [m/s],Doppler -0.450 [m/s],DeflVel 1.500 [mm/s],DeflVel 0.900 [mm/s],DeflVel 0.600 [mm/s],DeflVel 0.450 [mm/s],DeflVel 0.300 [mm/s],DeflVel 0.215 [mm/s],DeflVel 0.130 [mm/s],DeflVel -0.200 [mm/s],DeflVel -0.300 [mm/s],DeflVel -0.450 [mm/s],Slope 1.500 [µm/m],Slope 0.900 [µm/m],Slope 0.600 [µm/m],Slope 0.450 [µm/m],Slope 0.300 [µm/m],Slope 0.215 [µm/m],Slope 0.130 [µm/m],Slope -0.200 [µm/m],Slope -0.300 [µm/m],Slope -0.450 [µm/m],DoppValidity 3.080 ,DoppValidity 1.500 ,DoppValidity 0.900 ,DoppValidity 0.600 ,DoppValidity 0.450 ,DoppValidity 0.300 ,DoppValidity 0.215 ,DoppValidity 0.130 ,DoppValidity -0.200 ,DoppValidity -0.300 ,DoppValidity -0.450 ,SCI200 [µm],SCI300 [µm],SCISUB [µm],D-450 [µm],D-300 [µm],D-200 [µm],D0 [µm],D200 [µm],D300 [µm],D450 [µm],D600 [µm],D900 [µm],D1200 [µm],D1500 [µm],Goodness of fit,Latitude [dd.dddd],Longitude [dd.dddd],Height [m],DOP,Satellites
42410.0,24.8033,0.00926,-0.002566,0.022891,-0.002413,0.190286,0.364992,0.029443,-0.114375,0.367726,0.026908,0.111187,5623.2752,5654.6997,32.63,25.52,-0.067288,-0.07569,-0.085103,-0.088463,-0.079781,-0.080025,-0.082189,-0.078049,-0.087562,-0.083878,-0.081079,0.484451,0.783629,1.090768,0.743296,0.768494,0.034581,-0.468332,-0.905434,-0.955028,-1.063779,19.5317,31.5938,43.9768,29.9677,30.9836,1.3942,-18.8819,-36.5046,-38.5041,-42.8887,0.5069,0.4547,0.4865,0.455,0.4766,0.4727,0.4792,0.4414,0.4574,0.5183,0.4885,2.0,4.0,17.0,-49.0,-54.0,-56.0,-58.0,-56.0,-54.0,-49.0,-44.0,-32.0,-23.0,-15.0,0.94629614,55.665359265,12.305382932,23.947,1.2,8
42420.0,24.8162,0.03299,-0.004182,0.022103,-0.003201,-0.039885,0.095462,-0.090798,-0.104445,0.144855,0.208024,0.100556,5504.3424,5529.2186,32.66,25.56,-0.061494,-0.070599,-0.080286,-0.083516,-0.074772,-0.075319,-0.077226,-0.073085,-0.084679,-0.081237,-0.078711,1.073863,1.58538,2.262807,2.091751,1.932451,1.523212,1.085001,-1.170989,-1.387158,-1.65452,43.2726,63.8848,91.1826,84.2897,77.8705,61.3797,43.7215,-47.1864,-55.8973,-66.6709,0.5058,0.4508,0.4877,0.4537,0.4753,0.4692,0.4815,0.4431,0.4477,0.5164,0.4941,7.0,14.0,32.0,-116.0,-125.0,-130.0,-134.0,-127.0,-120.0,-107.0,-95.0,-71.0,-53.0,-39.0,0.99781635,55.665343057,12.305226175,24.101,1.5,7
42430.0,24.8303,0.01271,0.005032,0.018554,0.002076,-0.237001,-0.005703,0.101636,-0.046103,0.052087,0.006815,0.025556,5323.4306,5517.9195,32.61,25.6,-0.051126,-0.052118,-0.058322,-0.060096,-0.050422,-0.049924,-0.05162,-0.047185,-0.057235,-0.053395,-0.050419,0.897705,1.74224,2.296976,2.260002,2.354142,1.708,1.112927,-1.338023,-1.686993,-2.299508,36.1535,70.1658,92.5068,91.0177,94.8091,68.7868,44.8212,-53.8866,-67.9408,-92.6088,0.5087,0.4542,0.4903,0.454,0.4774,0.4715,0.4852,0.4497,0.4503,0.5188,0.4952,8.0,16.0,31.0,-102.0,-115.0,-121.0,-126.0,-118.0,-110.0,-96.0,-82.0,-57.0,-39.0,-26.0,0.99790339,55.665327684,12.305069373,24.101,1.5,7
42440.0,24.8412,0.06068,6.7e-05,0.01667,0.003578,-0.2451,-0.062099,0.097993,-0.013943,-0.084516,-0.201555,0.01241,5356.638,5486.0815,32.6,25.58,-0.045051,-0.043482,-0.048997,-0.050279,-0.040215,-0.039796,-0.041094,-0.036361,-0.046599,-0.042457,-0.038674,1.119613,1.76795,2.366665,2.490359,2.279779,1.903605,1.474697,-1.660742,-1.862219,-1.89908,45.0707,71.17,95.2716,100.251,91.7739,76.6308,59.3649,-66.8542,-74.9648,-76.4487,0.5087,0.4558,0.4859,0.4505,0.4734,0.4707,0.4836,0.4474,0.4476,0.5177,0.4991,9.0,18.0,35.0,-121.0,-133.0,-140.0,-146.0,-137.0,-128.0,-114.0,-100.0,-75.0,-55.0,-40.0,0.99846909,55.665313097,12.304912113,24.24,1.2,8
42450.0,24.867,0.01616,-0.000802,0.016306,-0.002295,0.012426,0.18169,0.109426,-0.093578,0.174621,-0.108092,0.084318,5475.1048,5588.5056,32.7,25.54,-0.066008,-0.073898,-0.083112,-0.085917,-0.077071,-0.077355,-0.079129,-0.074838,-0.086733,-0.083149,-0.080629,0.974776,1.468124,2.310746,2.086897,2.053562,1.701063,1.324149,-1.528854,-1.70749,-2.13393,39.1997,59.0392,92.9244,83.9225,82.582,68.4066,53.2493,-61.4814,-68.665,-85.8139,0.5076,0.4547,0.4885,0.4537,0.4762,0.4734,0.4832,0.4463,0.4482,0.5228,0.4955,8.0,16.0,30.0,-101.0,-113.0,-119.0,-125.0,-117.0,-109.0,-96.0,-83.0,-61.0,-43.0,-31.0,0.99725919,55.66529927,12.304754762,24.24,1.2,8
42460.0,24.8759,0.03743,-0.001129,0.018733,0.002135,-0.272079,-0.073972,0.149889,0.012711,-0.091934,-0.180634,-0.017827,5367.4633,5462.3657,32.65,25.53,-0.038162,-0.038771,-0.045004,-0.046725,-0.037028,-0.036589,-0.037991,-0.033386,-0.043802,-0.040141,-0.036755,1.258689,2.087522,2.68849,2.648062,2.672376,2.31499,1.872772,-0.964702,-1.512257,-1.7415,50.5987,83.9174,108.0761,106.4509,107.4283,93.0615,75.2846,-38.7806,-60.792,-70.0075,0.511,0.454,0.4868,0.4543,0.4763,0.4687,0.4834,0.4488,0.4451,0.5173,0.5001,13.0,23.0,40.0,-148.0,-158.0,-163.0,-164.0,-152.0,-142.0,-125.0,-109.0,-81.0,-58.0,-40.0,0.99949772,55.665286021,12.304597182,24.24,1.2,8
42470.0,24.8912,0.06078,0.005686,0.022492,-0.002207,-0.1208,0.069301,-0.041969,-0.005534,0.039329,-0.019688,0.000468,5388.1618,5580.4511,32.6,25.57,-0.049361,-0.05703,-0.06593,-0.068617,-0.059342,-0.059223,-0.060818,-0.056504,-0.070644,-0.067143,-0.064355,1.023295,1.793687,2.73096,2.913162,3.2685,3.087273,2.719989,-2.407363,-2.684663,-2.863399,41.1108,72.0612,109.7161,117.036,131.3117,124.0309,109.2753,-96.7156,-107.8561,-115.0368,0.511,0.4494,0.4909,0.4561,0.4727,0.4699,0.4793,0.4474,0.4492,0.5186,0.4958,18.0,30.0,34.0,-116.0,-133.0,-144.0,-152.0,-134.0,-122.0,-103.0,-86.0,-59.0,-39.0,-25.0,0.99931491,55.665273484,12.304439258,24.37,1.2,8
42480.0,24.8997,0.01958,0.00102,0.023618,0.003085,-0.178327,0.072886,0.076736,-0.015153,0.180415,0.066381,-0.008796,5379.6498,5524.9816,32.54,25.61,-0.048107,-0.047409,-0.053382,-0.055046,-0.045183,-0.044715,-0.046142,-0.041322,-0.050851,-0.046508,-0.043155,0.992842,1.513534,1.885995,1.85883,1.768394,1.306839,0.993849,-1.263807,-1.228126,-1.636797,39.8737,60.7853,75.7438,74.6528,71.0208,52.4842,39.9142,-50.756,-49.323,-65.7357,0.5112,0.4568,0.4914,0.4554,0.4735,0.4711,0.4833,0.4503,0.4417,0.5195,0.4974,6.0,13.0,30.0,-100.0,-109.0,-114.0,-119.0,-112.0,-106.0,-95.0,-84.0,-64.0,-46.0,-33.0,0.99714039,55.665261704,12.304281305,24.37,1.2,8
42490.0,24.9118,-0.00469,-0.003613,0.026748,0.000886,-0.057903,0.090936,-0.080665,-0.015261,0.062845,0.165513,0.040054,5494.8766,5496.8466,32.47,25.64,-0.059763,-0.06264,-0.069808,-0.072121,-0.062604,-0.062323,-0.063617,-0.059196,-0.069511,-0.065905,-0.062778,0.895322,1.542321,1.927499,1.879453,1.932622,1.790943,1.263635,-1.048357,-1.531779,-1.836712,35.9396,61.9112,77.3729,75.4442,77.5785,71.8913,50.7243,-42.0827,-61.4881,-73.7285,0.5115,0.4531,0.4907,0.457,0.4718,0.47,0.4865,0.4534,0.4443,0.5232,0.5006,9.0,16.0,29.0,-100.0,-110.0,-115.0,-118.0,-109.0,-102.0,-90.0,-79.0,-58.0,-41.0,-29.0,0.99940386,55.665250636,12.304123054,24.514,1.2,8
42500.0,24.9233,0.06441,0.001164,0.02965,0.000167,-0.211984,0.002524,-0.171449,0.010588,0.05917,0.177939,-0.051961,5399.3823,5439.3535,32.48,25.65,-0.045074,-0.049075,-0.05703,-0.059655,-0.050268,-0.050425,-0.051952,-0.047253,-0.057095,-0.053292,-0.050301,0.933137,1.230683,1.52155,1.447223,1.17028,0.857391,0.667018,-0.931942,-1.149253,-1.484249,37.4404,49.3789,61.0494,58.0671,46.9553,34.4012,26.7628,-37.3924,-46.1116,-59.5527,0.5124,0.4528,0.4901,0.4498,0.47,0.4688,0.4855,0.4523,0.4413,0.5196,0.5041,4.0,8.0,26.0,-86.0,-94.0,-99.0,-102.0,-99.0,-94.0,-86.0,-77.0,-60.0,-46.0,-34.0,0.99841749,55.665240312,12.303964794,24.514,1.2,8
